Year,Day,Hour,Solar,Rain,Wind,Tair,Tsoil,D
2018,1,0,-0.9,0,2,26.1,26.1,0.784400259
2018,1,0.5,-0.9,0,2.1,25.8,25.8,0.703848401
2018,1,1,-1,0,2.2,26,26,0.714085278
2018,1,1.5,-0.9,0,2.1,25.9,25.9,0.714110562
2018,1,2,-1,0,1.8,26.2,26.2,0.746696704
2018,1,2.5,-0.9,0,1.6,26.3,26.3,0.721510382
2018,1,3,-0.9,0,2,26.3,26.3,0.705324592
2018,1,3.5,-1,0,2.2,25.9,25.9,0.686401592
2018,1,4,-1,0,1.9,25.9,25.9,0.731456306
2018,1,4.5,-1,0,1.6,26.3,26.3,0.767386488
2018,1,5,-1,0,1.9,26.3,26.3,0.729716351
2018,1,5.5,-0.8,0,1.9,25.5,25.5,0.637996582
2018,1,6,0.6,0,1.9,25.6,25.6,0.754672741
2018,1,6.5,32.3,0,1.7,26,26,0.786400439
2018,1,7,91.9,0,1,26.6,26.6,0.874935854
2018,1,7.5,182.3,0,0.3,28.2,28.2,1.154232988
2018,1,8,274.3,0,1,28.3,28.3,1.139348738
2018,1,8.5,365.2,0,1.2,28.1,28.1,1.068983775
2018,1,9,475.7,0,1.4,28.5,28.5,1.111254834
2018,1,9.5,590.9,0,2.8,28.2,28.2,1.053387715
2018,1,10,692,0,3.6,28.5,28.5,1.12907041
2018,1,10.5,745.7,0,3.4,28.8,28.8,1.223620051
2018,1,11,794.8,0,4.2,28.9,28.9,1.226266332
2018,1,11.5,850.2,0,4.1,28.9,28.9,1.136365003
2018,1,12,824.4,0,4.2,28.9,28.9,1.183108204
2018,1,12.5,941.3,0,4.5,29.1,29.1,1.203448567
2018,1,13,906.1,0,3.6,29.3,29.3,1.239035402
2018,1,13.5,572.1,0,3.6,29,29,1.14738695
2018,1,14,668.5,0,2.5,28.6,28.6,1.072553396
2018,1,14.5,575.1,0,3.2,29,29,1.165133077
2018,1,15,674.2,0,4.2,29.1,29.1,1.202787031
2018,1,15.5,509.3,0,4.3,29.1,29.1,1.189167626
2018,1,16,466.6,0,4,29,29,1.138815142
2018,1,16.5,412.5,0,3.3,28.9,28.9,1.066623178
2018,1,17,317,0,2.9,28.9,28.9,1.080181279
2018,1,17.5,222.9,0,2.8,28.8,28.8,1.080068736
2018,1,18,52,0,3.1,28.5,28.5,1.015587181
2018,1,18.5,30.1,0,2.3,28.1,28.1,0.967074846
2018,1,19,8.9,0,1.2,27.7,27.7,0.874356581
2018,1,19.5,-0.8,0,0.8,27.5,27.5,0.870135743
2018,1,20,-0.9,0,1.2,27,27,0.847693151
2018,1,20.5,-0.9,0,1.4,26.5,26.5,0.839884774
